Источники фото (Википедия и Openverse, свободные лицензии):

times-square.jpg — «Times Square», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Times_Square
statue-of-liberty.jpg — «Statue of Liberty», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Statue_of_Liberty
mount-kilimanjaro.jpg — «Mount Kilimanjaro», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Mount_Kilimanjaro
great-wall-of-china.jpg — «Great Wall of China», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Great_Wall_of_China
tower-bridge.jpg — «View of the Tower Bridge from the Thames from northwest. London cropped», автор Ввласенко, лицензия BY-SA 4.0 — https://commons.wikimedia.org/w/index.php?curid=88256033
stonehenge.jpg — «Stonehenge», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Stonehenge
big-ben.jpg — «Big Ben», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Big_Ben
eiffel-tower.jpg — «Eiffel Tower», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Eiffel_Tower
sydney-opera-house.jpg — «Sydney Opera House», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Sydney_Opera_House
taj-mahal.jpg — «Taj Mahal», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Taj_Mahal
colosseum.jpg — «Colosseum», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Colosseum
grand-canyon.jpg — «Grand Canyon», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Grand_Canyon
niagara-falls.jpg — «Niagara Falls», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Niagara_Falls
mount-fuji.jpg — «Mount Fuji», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Mount_Fuji
machu-picchu.jpg — «Machu Picchu», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Machu_Picchu
pamukkale.jpg — «Pamukkale», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Pamukkale
santorini.jpg — «Santorini», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Santorini
bora-bora.jpg — «Bora Bora», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Bora_Bora
phuket.jpg — «Phuket province», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Phuket_province
burj-khalifa.jpg — «Burj Khalifa», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Burj_Khalifa
sagrada-familia.jpg — «Sagrada Família», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Sagrada_Fam%C3%ADlia
petra.jpg — «Petra», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Petra
louvre-museum.jpg — «Louvre», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Louvre
marina-bay-sands.jpg — «Marina Bay Sands», автор Wikimedia Commons, лицензия СМ. СТРАНИЦУ ФАЙЛА  — https://en.wikipedia.org/wiki/Marina_Bay_Sands
pizza.jpg — «Pizza», автор Mikhail Morozov — https://www.pexels.com/photo/a-pizza-on-a-wooden-table-8967721/
