Источники видео (Pexels, свободная лицензия):

porsche.mp4 — Pexels, автор Videas — https://www.pexels.com/video/luxury-car-parked-in-indoor-garage-35099110/
bmw.mp4 — Pexels, автор Videas — https://www.pexels.com/video/sleek-white-car-driving-in-urban-setting-37451556/
supra.mp4 — Pexels, автор Gaurav Kumar — https://www.pexels.com/video/blue-sports-car-with-spoiler-at-auto-show-30626053/
camaro.mp4 — Pexels, автор FULL HD 4K Mancuso — https://www.pexels.com/video/chevrolet-chevelle-1970-27644752/
cadillac.mp4 — Pexels, автор Nuray — https://www.pexels.com/video/a-red-cadillac-parked-on-the-street-in-front-of-a-building-24837722/
land-rover.mp4 — Pexels, автор shoreline vehicles — https://www.pexels.com/video/rustic-off-road-adventure-in-vintage-land-rover-31943165/
aston-martin.mp4 — Pexels, автор Anıl Karakaya — https://www.pexels.com/video/sleek-black-car-navigating-mountain-roads-32486198/
beach-villa.mp4 — Pexels, автор Yelena from Pexels — https://www.pexels.com/video/the-swimming-pool-at-or-near-kuta-villa-17353966/
ice-cream.mp4 — Pexels, автор Yaroslav Shuraev — https://www.pexels.com/video/person-holding-a-scone-of-flowers-7698589/
penthouse.mp4 — Pexels, автор Misbaa eri — https://www.pexels.com/video/modern-hotel-room-with-stylish-interior-design-37252343/
sandcastle.mp4 — Pexels, автор Marsel Sharipov — https://www.pexels.com/video/a-person-making-a-mud-castle-on-the-beach-13934806/
snowman.mp4 — Pexels, автор amin naderloei — https://www.pexels.com/video/charming-snowman-with-leaf-hat-in-winter-33753106/
toronto.mp4 — Pexels, автор ARK FILMS — https://www.pexels.com/video/aerial-view-around-the-cn-tower-toronto-skyline-and-lake-ontario-in-the-background-ontario-canada-15441525/
chicago.mp4 — Pexels, автор Airam Dato-on — https://www.pexels.com/video/night-traffic-in-downtown-chicago-with-skyline-38028327/
red-panda.mp4 — Pexels, автор Артём Гришкан — https://www.pexels.com/video/calm-red-panda-resting-in-enclosure-38457297/
limousine.mp4 — Pexels, автор Pavel Danilyuk — https://www.pexels.com/video/a-man-getting-out-of-a-luxury-car-8344926/
volvo.mp4 — Pexels, автор Matheus Bertelli — https://www.pexels.com/video/aerial-view-of-car-on-open-country-road-38994136/
mount-rainier.mp4 — Pexels, автор Sarah Choi — https://www.pexels.com/video/mt-rainier-27433758/
stork.mp4 — Pexels, автор Magda Ehlers — https://www.pexels.com/video/majestic-marabou-stork-in-natural-habitat-34743219/
panda.mp4 — Pexels, автор Guillaume Kremer — https://www.pexels.com/video/giant-panda-eating-bamboo-in-natural-habitat-38863023/
jaguar.mp4 — Pexels, автор paashuu — https://www.pexels.com/video/a-green-sports-car-on-a-rooftop-parking-lot-16000240/
table-mountain.mp4 — Pexels, автор Ros NL — https://www.pexels.com/video/breathtaking-cape-town-cityscape-from-above-34484716/
hong-kong-skyline.mp4 — Pexels, автор Nirjhar Basak — https://www.pexels.com/video/sunset-skyline-view-of-hong-kong-harbour-34731193/
dubai-skyline.mp4 — Pexels, автор Sravan Chandran — https://www.pexels.com/video/time-lapse-of-night-traffic-in-dubai-10552691/
crane.mp4 — Pexels, автор Ebahir — https://www.pexels.com/video/flock-of-birds-in-flight-over-dry-field-34382043/
farmhouse.mp4 — Pexels, автор just a hobby — https://www.pexels.com/video/aerial-view-of-countryside-homes-and-farmlands-34698306/
mountain-cabin.mp4 — Pexels, автор Yunus Tuğ — https://www.pexels.com/video/snow-covered-village-in-winter-mountains-35875517/
city-penthouse.mp4 — Pexels, автор cottonbro studio — https://www.pexels.com/video/an-apartment-with-city-view-8572185/
helicopter.mp4 — Pexels, автор Eyüp Can Çağlar — https://www.pexels.com/video/dynamic-aerial-helicopter-flight-in-blue-sky-34338404/
popsicle.mp4 — Pexels, автор Nadezhda Moryak — https://www.pexels.com/video/footage-of-frozen-water-droplets-7127511/
matterhorn.mp4 — Pexels, автор Stephan Leuzinger — https://www.pexels.com/video/scenic-hike-at-the-matterhorn-in-switzerland-33853657/
paris-at-night.mp4 — Pexels, автор Guillaume Boulanger — https://www.pexels.com/video/paris-night-drive-with-festive-lights-35113002/
hydrangea.mp4 — Pexels, автор Efrem  Efre — https://www.pexels.com/video/vibrant-blue-hydrangeas-in-bloom-outdoors-38554916/
lavender.mp4 — Pexels, автор Hao Le — https://www.pexels.com/video/close-up-of-bee-pollinating-purple-flowers-34551293/
daisies.mp4 — Pexels, автор Evelyne Herbin — https://www.pexels.com/video/close-up-view-of-a-white-daisy-5594116/
toucan.mp4 — Pexels, автор Fotis Michalainas — https://www.pexels.com/video/toucans-perched-majestically-in-lush-jungle-30835590/
peacock.mp4 — Pexels, автор Gaurav Budhiraja — https://www.pexels.com/video/majestic-peacock-displaying-feathers-in-nature-38106335/
pony.mp4 — Pexels, автор Shuttercraftsman — https://www.pexels.com/video/rustic-brown-horse-in-sunlit-pasture-32487387/
bear.mp4 — Pexels, автор Diane  Wilser — https://www.pexels.com/video/brown-bear-on-a-grassland-1238852/
deer.mp4 — Pexels, автор Gabriele Brancati — https://www.pexels.com/video/a-deer-in-a-meadow-12730966/
horse.mp4 — Pexels, автор Shuttercraftsman — https://www.pexels.com/video/horses-running-in-scenic-outdoor-landscape-37787815/
espresso-machine.mp4 — Pexels, автор Alex Moisieiev — https://www.pexels.com/video/a-person-filling-an-espresso-machine-portafilter-with-ground-coffee-11836118/
camera.mp4 — Pexels, автор Nazar Kharin — https://www.pexels.com/video/close-up-of-dslr-camera-in-action-outdoors-28638048/
tablet.mp4 — Pexels, автор Mikhail Nilov — https://www.pexels.com/video/male-hands-using-digital-tablet-6931255/
loft-apartment.mp4 — Pexels, автор cottonbro studio — https://www.pexels.com/video/man-house-sport-apartment-4115121/
treehouse.mp4 — Pexels, автор Tripatpal Singh — https://www.pexels.com/video/treehouse-amidst-blooming-flowers-in-forest-36742840/
historic-mansion.mp4 — Pexels, автор David Pickup |  Advertising & Marketing  🇬🇧 — https://www.pexels.com/video/historic-ivy-covered-manor-with-blue-sky-37757858/
jeep.mp4 — Pexels, автор Travel Oyo — https://www.pexels.com/video/stylish-white-jeep-wrangler-in-urban-dubai-setting-36780631/
mclaren.mp4 — Pexels, автор Arslan  Ashraf — https://www.pexels.com/video/high-speed-dubai-supercar-on-sheikh-zayed-road-35353790/
luxury-motorcycle.mp4 — Pexels, автор paashuu — https://www.pexels.com/video/close-up-of-a-harley-davidson-motorcycle-parked-in-the-street-16120736/
private-jet.mp4 — Pexels, автор Harrun  Muhammad — https://www.pexels.com/video/private-jets-and-shuttle-bus-on-airport-tarmac-35168475/
surfing.mp4 — Pexels, автор 정규송 Nui MALAMA — https://www.pexels.com/video/surfer-balancing-on-ocean-waves-in-black-and-white-35257447/
amazon-river.mp4 — Pexels, автор MELQUIZEDEQUE ALMEIDA — https://www.pexels.com/video/scenic-aerial-view-of-lush-river-landscape-35527402/
moraine-lake.mp4 — Pexels, автор Lindsey Mateo — https://www.pexels.com/video/pristine-mountain-lake-with-clear-turquoise-waters-34479185/
patagonia.mp4 — Pexels, автор Luciana Scherbosky — https://www.pexels.com/video/serene-patagonian-lake-with-snowy-mountains-32853476/
rocky-mountains.mp4 — Pexels, автор Anatolii Grytsenko — https://www.pexels.com/video/breathtaking-fall-vista-in-colorado-mountains-32458464/
banff.mp4 — Pexels, автор Lindsey Mateo — https://www.pexels.com/video/scenic-drive-through-banff-national-park-30720833/
times-square.mp4 — Pexels, автор LauraB — https://www.pexels.com/video/vibrant-day-at-times-square-new-york-city-29152297/
singapore-skyline.mp4 — Pexels, автор Madhu — https://www.pexels.com/video/marina-bay-sands-illuminated-night-view-34186550/
tokyo-at-night.mp4 — Pexels, автор Bezaleel Fajar Luista — https://www.pexels.com/video/shibuya-crossing-night-scene-in-tokyo-28883548/
sea-otter.mp4 — Pexels, автор Stephan Leuzinger — https://www.pexels.com/video/playful-otter-swimming-in-calm-aquarium-waters-34213432/
lionfish.mp4 — Pexels, автор Kubilay  Öztürk — https://www.pexels.com/video/lionfish-swimming-gracefully-in-aquarium-34315573/
dodge-charger.mp4 — Pexels, автор Ivan Chumak — https://www.pexels.com/video/dodge-challenger-muscle-car-in-urban-industrial-setting-33636865/
desert-house.mp4 — Pexels, автор Logan Voss — https://www.pexels.com/video/scenic-aerial-view-of-arizona-desert-landscape-34983648/
sea-anemone.mp4 — Pexels, автор Richard Lathrop — https://www.pexels.com/video/colorful-sea-anemones-in-aquarium-36709848/
bison.mp4 — Pexels, автор Vasilis Karkalas — https://www.pexels.com/video/bison-in-the-grassy-field-near-a-road-15948517/
robot-vacuum.mp4 — Pexels, автор Kindel Media — https://www.pexels.com/video/a-robotic-vacuum-cleaner-for-the-floor-8566780/
kuala-lumpur-at-night.mp4 — Pexels, автор Maenichie — https://www.pexels.com/video/illuminated-petronas-towers-in-kuala-lumpur-10963091/
moray-eel.mp4 — Pexels, автор lux werk — https://www.pexels.com/video/moray-eel-in-aquatic-environment-36273365/
starfish.mp4 — Pexels, автор bizarreaudio — https://www.pexels.com/video/vibrant-blue-starfish-on-coral-reef-35196035/
orca.mp4 — Pexels, автор Raymundo Guerrero — https://www.pexels.com/video/aerial-footage-of-whales-in-the-ocean-32800188/
octopus.mp4 — Pexels, автор Nadin Sh — https://www.pexels.com/video/squeezing-orange-over-grilled-octopus-dish-31998392/
wolf.mp4 — Pexels, автор iddea photo — https://www.pexels.com/video/man-interacting-with-wolf-on-forest-rock-29781559/
air-fryer.mp4 — Pexels, автор Nano Erdozain — https://www.pexels.com/video/hands-grinding-pepper-in-kitchen-close-up-32111195/
bentley.mp4 — Pexels, автор Tima Miroshnichenko — https://www.pexels.com/video/bentley-with-lamps-on-6872087/
gold-bars.mp4 — Pexels, автор Tim Friedrich Weber — https://www.pexels.com/video/digital-gold-and-silver-coins-animation-33212388/
sydney-harbour.mp4 — Pexels, автор Beeto Beeto — https://www.pexels.com/video/illuminated-sydney-harbour-bridge-at-night-29255797/
owl.mp4 — Pexels, автор Joolsmagools  ®️ — https://www.pexels.com/video/tawny-frogmouth-perched-on-tree-branch-35884655/
crab.mp4 — Pexels, автор Siarhei Nester — https://www.pexels.com/video/crab-walking-on-sandy-beach-with-ripples-36852909/
guitar.mp4 — Pexels, автор Pavel Danilyuk — https://www.pexels.com/video/a-man-playing-an-acoustic-guitar-4553977/
smartwatch.mp4 — Pexels, автор Pexels User — https://www.pexels.com/video/modern-smartwatch-on-wrist-for-fitness-tracking-36124120/
forest-cabin.mp4 — Pexels, автор apertur 2.8 — https://www.pexels.com/video/rustic-log-cabin-in-tranquil-forest-setting-35639402/
bugatti.mp4 — Pexels, автор Arslan  Ashraf — https://www.pexels.com/video/high-speed-dubai-supercar-on-sheikh-zayed-road-35353790/
vintage-car.mp4 — Pexels, автор UMUT   🆁🅰🆆 — https://www.pexels.com/video/vintage-car-on-rainy-street-at-night-29195381/
winter-soup.mp4 — Pexels, автор Annushka  Ahuja — https://www.pexels.com/video/steaming-bowls-of-soup-on-a-table-8051346/
frozen-lake.mp4 — Pexels, автор Bayarmaa Natsagdorj — https://www.pexels.com/video/winter-stroll-on-frozen-lake-surface-29035027/
lake-como.mp4 — Pexels, автор Earth Photart — https://www.pexels.com/video/scenic-boating-adventure-on-lake-como-italy-32523923/
hot-springs.mp4 — Pexels, автор Anoop A Nair — https://www.pexels.com/video/scenery-with-hot-springs-and-steam-iceland-12699379/
lake-wanaka.mp4 — Pexels, автор kari Kittlaus — https://www.pexels.com/video/wanaka-tree-sunset-18602838/
